rating,comment
5.0,"Barang original, pengiriman cepat, harga bersahabat, dapat bonus case bening dan tempered glass, chat penjual fast respon"
5.0,"pengemasan sangat rapi,produk ori garansi resmi,pengiriman cepat ,seller respon baik."
4.0,"Barang ori segel green peal. 
Pengiriman juga cepat hanya 3 hari ke luar pulau. 
Hanya saja barang yang dikirimkan tidak sesuai dengan note yang diberikan, di note ditulis SA/A yang dikirim malah ID/A. 
Seller informati dan ramah.
Packaging aman karena bubblewarp yang diberikan sangat tebal."
5.0,"Barang masih segel dan bergaransi resmi
Penjual ramah dan responsif"
5.0,"pengiriman reguler seperti prediksi dan cepat
packing aman
kondisi setelah buka aman, warna sesuai
ada bonus chasing dan screen protector
kondisi on sinyal ada
terima kasih"
5.0,Pengiriman cepat dan aman. Barang dikemas dengan baik dan tebal. Barang bisa berfungsi dengan baik. Admin juga cepat menjawab pertanyaan-pertanyaan di chat. Terima kasih.
5.0,"Resmi, Segel , Seller ramah, Garansi,Sameday sehari sampe"
5.0,Paket aman sampai tujuan. Barang bagus original dan penjualnya fast respon 👍. recommended seller
5.0,"Barang original, bergaransi resmi, IMEI aman, dapat free asuransi fisik produk 1 tahun. Sudah dicoba dan semua fitur berfungsi dengan baik. Proses pengiriman agak lama (di seller), padahal yang saya pilih adalah next day."
5.0,"sempet ragu awalnya beli disini, tapi ternyata memuaskan banget, pengiriman juga cepet bgt, produk original, garansi resmi, pengiriman juga cepet!"
5.0,"Sampai dg selamat sesuai estimasi waktu dan utuh,bubble wraps tebel bgt,barang sesuai pesanan (thanks admin). Barang original(greenpeel,imei terdaftar,garansi aple 1 th)."
5.0,"Respon dan pengiriman super cepat,
penjualnya ramah, komunikatif.
barang sdh di terima dengan baik dan normal.
terimakasih seller 
terimakasih Tokopedia 
sukses selalu"
5.0,Barangnya masih di segel. barang ori cepat nyampe ke NTT hanya 7 hari garansi resmi kode PA/A mantap tokonya.
5.0,Barang masih disegel waktu sampai & ada garansi resminya Berfungsi dengan baik! Kualitas barang original pasti top.
5.0,"Respon penjual baik dan peduli
Kualitas HP ori Apple iPhone
Pengiriman cepat
Dapat kartu garansi iBox
Rekomen toko"
5.0,"makasih, pesanan iphone 13 saya sudah sampai dalam kondisi aman dan berfungsi dengan baik, packing aman menggunakan bubble wrap. semoga awet dan tahan lama.."
